Vylepšena hueristika
Účelová funkcia: 7070
Hmotnosť batohu: 19598
Počet veci v batohu: 350
132. Vec, Cena: 15, Hmotnosť: 53
133. Vec, Cena: 15, Hmotnosť: 53
134. Vec, Cena: 10, Hmotnosť: 35
135. Vec, Cena: 10, Hmotnosť: 35
136. Vec, Cena: 10, Hmotnosť: 35
137. Vec, Cena: 15, Hmotnosť: 52
138. Vec, Cena: 20, Hmotnosť: 69
139. Vec, Cena: 20, Hmotnosť: 69
140. Vec, Cena: 15, Hmotnosť: 51
141. Vec, Cena: 20, Hmotnosť: 67
142. Vec, Cena: 20, Hmotnosť: 66
143. Vec, Cena: 10, Hmotnosť: 33
144. Vec, Cena: 25, Hmotnosť: 80
145. Vec, Cena: 20, Hmotnosť: 64
146. Vec, Cena: 20, Hmotnosť: 63
147. Vec, Cena: 20, Hmotnosť: 63
148. Vec, Cena: 20, Hmotnosť: 63
149. Vec, Cena: 20, Hmotnosť: 63
150. Vec, Cena: 15, Hmotnosť: 47
151. Vec, Cena: 15, Hmotnosť: 47
152. Vec, Cena: 20, Hmotnosť: 62
153. Vec, Cena: 10, Hmotnosť: 31
154. Vec, Cena: 10, Hmotnosť: 31
155. Vec, Cena: 25, Hmotnosť: 77
156. Vec, Cena: 25, Hmotnosť: 77
157. Vec, Cena: 15, Hmotnosť: 46
158. Vec, Cena: 15, Hmotnosť: 46
159. Vec, Cena: 20, Hmotnosť: 61
160. Vec, Cena: 10, Hmotnosť: 30
161. Vec, Cena: 25, Hmotnosť: 75
162. Vec, Cena: 20, Hmotnosť: 60
163. Vec, Cena: 10, Hmotnosť: 30
164. Vec, Cena: 20, Hmotnosť: 60
165. Vec, Cena: 25, Hmotnosť: 74
166. Vec, Cena: 25, Hmotnosť: 74
167. Vec, Cena: 25, Hmotnosť: 74
168. Vec, Cena: 15, Hmotnosť: 44
169. Vec, Cena: 20, Hmotnosť: 58
170. Vec, Cena: 25, Hmotnosť: 72
171. Vec, Cena: 15, Hmotnosť: 43
172. Vec, Cena: 20, Hmotnosť: 57
173. Vec, Cena: 25, Hmotnosť: 71
174. Vec, Cena: 10, Hmotnosť: 28
175. Vec, Cena: 15, Hmotnosť: 42
176. Vec, Cena: 20, Hmotnosť: 55
177. Vec, Cena: 25, Hmotnosť: 68
178. Vec, Cena: 25, Hmotnosť: 68
179. Vec, Cena: 10, Hmotnosť: 27
180. Vec, Cena: 10, Hmotnosť: 27
181. Vec, Cena: 10, Hmotnosť: 27
182. Vec, Cena: 30, Hmotnosť: 80
183. Vec, Cena: 20, Hmotnosť: 53
184. Vec, Cena: 15, Hmotnosť: 39
185. Vec, Cena: 15, Hmotnosť: 39
186. Vec, Cena: 20, Hmotnosť: 52
187. Vec, Cena: 20, Hmotnosť: 51
188. Vec, Cena: 15, Hmotnosť: 38
189. Vec, Cena: 30, Hmotnosť: 76
190. Vec, Cena: 30, Hmotnosť: 76
191. Vec, Cena: 15, Hmotnosť: 38
192. Vec, Cena: 30, Hmotnosť: 76
193. Vec, Cena: 10, Hmotnosť: 25
194. Vec, Cena: 20, Hmotnosť: 50
195. Vec, Cena: 30, Hmotnosť: 75
196. Vec, Cena: 30, Hmotnosť: 74
197. Vec, Cena: 30, Hmotnosť: 74
198. Vec, Cena: 30, Hmotnosť: 74
199. Vec, Cena: 25, Hmotnosť: 61
200. Vec, Cena: 25, Hmotnosť: 61
201. Vec, Cena: 30, Hmotnosť: 73
202. Vec, Cena: 15, Hmotnosť: 36
203. Vec, Cena: 10, Hmotnosť: 24
204. Vec, Cena: 25, Hmotnosť: 60
205. Vec, Cena: 30, Hmotnosť: 72
206. Vec, Cena: 25, Hmotnosť: 60
207. Vec, Cena: 10, Hmotnosť: 24
208. Vec, Cena: 10, Hmotnosť: 24
209. Vec, Cena: 30, Hmotnosť: 71
210. Vec, Cena: 30, Hmotnosť: 71
211. Vec, Cena: 20, Hmotnosť: 47
212. Vec, Cena: 15, Hmotnosť: 35
213. Vec, Cena: 30, Hmotnosť: 70
214. Vec, Cena: 30, Hmotnosť: 70
215. Vec, Cena: 30, Hmotnosť: 69
216. Vec, Cena: 30, Hmotnosť: 69
217. Vec, Cena: 10, Hmotnosť: 23
218. Vec, Cena: 30, Hmotnosť: 69
219. Vec, Cena: 20, Hmotnosť: 46
220. Vec, Cena: 20, Hmotnosť: 46
221. Vec, Cena: 20, Hmotnosť: 46
222. Vec, Cena: 20, Hmotnosť: 46
223. Vec, Cena: 30, Hmotnosť: 69
224. Vec, Cena: 25, Hmotnosť: 57
225. Vec, Cena: 15, Hmotnosť: 34
226. Vec, Cena: 15, Hmotnosť: 34
227. Vec, Cena: 35, Hmotnosť: 79
228. Vec, Cena: 25, Hmotnosť: 56
229. Vec, Cena: 35, Hmotnosť: 77
230. Vec, Cena: 30, Hmotnosť: 66
231. Vec, Cena: 25, Hmotnosť: 55
232. Vec, Cena: 35, Hmotnosť: 76
233. Vec, Cena: 25, Hmotnosť: 54
234. Vec, Cena: 25, Hmotnosť: 54
235. Vec, Cena: 20, Hmotnosť: 43
236. Vec, Cena: 20, Hmotnosť: 43
237. Vec, Cena: 20, Hmotnosť: 43
238. Vec, Cena: 20, Hmotnosť: 43
239. Vec, Cena: 35, Hmotnosť: 75
240. Vec, Cena: 35, Hmotnosť: 75
241. Vec, Cena: 30, Hmotnosť: 64
242. Vec, Cena: 30, Hmotnosť: 64
243. Vec, Cena: 25, Hmotnosť: 53
244. Vec, Cena: 35, Hmotnosť: 74
